song_name,artist_name,album,duration,artwork_url,scrape_date
X n The City,,,2:28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/7f/35/b9/7f35b96a-8d91-d5a2-6452-759b3724052d/075679612175.jpg/2000x2000bb.jpg,2025-05-07
Heartthrob,,,3:13,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f0/ae/48/f0ae4848-de2a-5bf1-1375-412674c66cba/25CRGIM48975.rgb.jpg/2000x2000bb.jpg,2025-05-07
Melodie Is A Wound,,,7:37,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/55/74/63/55746324-ab20-5e89-26a8-1e152254c514/5056818800993.png/2000x2000bb.jpg,2025-05-07
Animaru,,,2:41,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/76/32/b5/7632b5ce-7e83-f84a-c8f1-781bf02e8bec/51459.jpg/2000x2000bb.jpg,2025-05-07
Bad Brain,,,2:43,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1c/83/92/1c839247-e6a4-5e96-4c1c-367bfe0fe70d/25UMGIM54289.rgb.jpg/2000x2000bb.jpg,2025-05-07
Found A Light (Beale Street),,,7:16,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/27/34/42/27344285-788d-ac5a-487d-a4cbf612dd7e/191404155370.png/2000x2000bb.jpg,2025-05-07
Mirror (feat. Jessy Lanza & Yaeji),,,2:48,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e2/2c/fc/e22cfc21-6a97-57f9-c070-83a9c4bdb149/5056556160199_cover.jpg/2000x2000bb.jpg,2025-05-07
Vacay,,,2:22,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2d/e4/53/2de453a8-3721-d972-378c-68b2b64154d0/810129980011.jpg/2000x2000bb.jpg,2025-05-07
Bon Voyage,,,3:2,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/43/3f/a1/433fa1ba-67c6-1a2c-fc67-87288c4d9cf0/199350425370.jpg/2000x2000bb.jpg,2025-05-07
WE ON GO,,,2:48,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/2f/20/1b/2f201b0c-9eda-9db5-7f7e-477fb239716f/196872918373.jpg/2000x2000bb.jpg,2025-05-07
fine shyt (feat. BIA),,,2:19,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3e/11/b8/3e11b8e7-dc5d-b894-f2dd-f3f860527d97/196873118932.jpg/2000x2000bb.jpg,2025-05-07
bishop,,,3:19,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/31/d5/5f/31d55f19-d318-6551-fef7-5af7dd56f964/199350188923.jpg/2000x2000bb.jpg,2025-05-07
Back Back,,,2:1,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/c5/37/32/c5373257-b57c-4a09-c3ea-ffaa1fd8875d/764656286897_cover.jpg/2000x2000bb.jpg,2025-05-07
All that Glitter is not Gold (feat. Trueno),,,2:51,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b0/95/21/b0952150-9fc5-3e3f-2984-122aac275ea0/5056556159643_cover.jpg/2000x2000bb.jpg,2025-05-07
Women Respond to Bass,,,2:46,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/4a/73/bf/4a73bfbd-ce02-ed75-4a3c-26927823feae/51806.jpg/2000x2000bb.jpg,2025-05-07
Lay down,,,4:16,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ae/9a/61/ae9a615d-ffdc-47b4-e10f-efec8be29602/191400081475.png/2000x2000bb.jpg,2025-05-07
Death with Dignity (Demo),,,4:2,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/bf/77/20/bf772094-afd5-407a-4316-4edf99c10707/52178.jpg/2000x2000bb.jpg,2025-05-07
"The Path (from ""The Last of Us: Season 2"")",,,2:14,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/05/3e/25/053e252f-0f9e-d2f8-e4cc-a56954f4aa24/196873105963.jpg/2000x2000bb.jpg,2025-05-07
